Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,4,8:30,,,,,,,,,,,,,,,,
August,4,9:00,,,,,,,,,,,,,,,,
August,4,9:30,,,,,,,,,,,,,,,,
August,4,10:00,,,,,,,,,,,,,,,,
August,4,10:30,,,,,,,,,,,,,,,,
August,4,11:00,,,,,,,,,,,,,,,,
August,4,11:30,,,,,,,,,,,,,,,,
August,4,12:00,,,,,,,,,,,,,,,,
August,4,12:30,,,,,,,,,,,,,,,,
August,4,13:00,,,,,,,,,,,,,,,,
August,4,13:30,,,,,,,,,,,,,,,,
August,4,14:00,,,,,,,,,,,,,,,,
August,4,14:30,,,,,,,,,,,,,,,,
August,4,15:00,,,,,,,,,,,,,,,,
August,4,15:30,,,,,,,,,,,,,,,,
August,4,16:00,,,,,,,,,,,,,,,,
August,4,16:30,,,,,,,,,,,,,,,,
August,4,17:00,,,,,,,,,,,,,,,,
August,4,17:30,,,,,,,,,,,,,,,,
August,4,18:00,,,,,,,,,,,,,,,,
August,4,18:30,,,,,,,,,,,,,,,,
August,4,19:00,,,,,,,,,,,,,,,,
August,4,19:30,,,,,,,,,,,,,,,,
August,4,20:00,,,,,,,,,,,,,,,,
August,4,20:30,,,,,,,,,,,,,,,,
August,4,21:00,,,,,,,,,,,,,,,,
August,4,21:30,,,,,,,,,,,,,,,,
August,4,22:00,,,,,,,,,,,,,,,,
August,4,22:30,,,,,,,,,,,,,,,,
August,4,23:00,,,,,,,,,,,,,,,,
August,4,23:30,,,,,,,,,,,,,,,,
August,5,0:00,,,,,,,,,,,,,,,,
August,5,0:30,,,,,,,,,,,,,,,,
August,5,1:00,,,,,,,,,,,,,,,,
August,5,1:30,,,,,,,,,,,,,,,,
August,5,2:00,,,,,,,,,,,,,,,,
August,5,2:30,,,,,,,,,,,,,,,,
August,5,3:00,,,,,,,,,,,,,,,,
August,5,3:30,,,,,,,,,,,,,,,,
August,5,4:00,,,,,,,,,,,,,,,,
August,5,4:30,,,,,,,,,,,,,,,,
August,5,5:00,,,,,,,,,,,,,,,,
August,5,5:30,,,,,,,,,,,,,,,,
August,5,6:00,,,,,,,,,,,,,,,,
August,5,6:30,,,,,,,,,,,,,,,,
August,5,7:00,,,,,,,,,,,,,,,,
August,5,7:30,,,,,,,,,,,,,,,,
August,5,8:00,,,,,,,,,,,,,,,,
August,5,8:30,,,,,,,,,,,,,,,,
August,5,9:00,,,,,,,,,,,,,,,,
August,5,9:30,,,,,,,,,,,,,,,,
August,5,10:00,,,,,,,,,,,,,,,,
August,5,10:30,,,,,,,,,,,,,,,,
August,5,11:00,,,,,,,,,,,,,,,,
August,5,11:30,,,,,,,,,,,,,,,,
August,5,12:00,,,,,,,,,,,,,,,,
August,5,12:30,,,,,,,,,,,,,,,,
August,5,13:00,,,,,,,,,,,,,,,,
August,5,13:30,,,,,,,,,,,,,,,,
August,5,14:00,,,,,,,,,,,,,,,,
August,5,14:30,,,,,,,,,,,,,,,,
August,5,15:00,,,,,,,,,,,,,,,,
August,5,15:30,,,,,,,,,,,,,,,,
August,5,16:00,,,,,,,,,,,,,,,,
August,5,16:30,,,,,,,,,,,,,,,,
August,5,17:00,,,,,,,,,,,,,,,,
August,5,17:30,,,,,,,,,,,,,,,,
August,5,18:00,,,,,,,,,,,,,,,,
August,5,18:30,,,,,,,,,,,,,,,,
August,5,19:00,,,,,,,,,,,,,,,,
August,5,19:30,,,,,,,,,,,,,,,,
August,5,20:00,,,,,,,,,,,,,,,,
August,5,20:30,,,,,,,,,,,,,,,,
August,5,21:00,,,,,,,,,,,,,,,,
August,5,21:30,,,,,,,,,,,,,,,,
August,5,22:00,,,,,,,,,,,,,,,,
August,5,22:30,,,,,,,,,,,,,,,,
August,5,23:00,,,,,,,,,,,,,,,,
August,5,23:30,,,,,,,,,,,,,,,,
August,6,0:00,,,,,,,,,,,,,,,,
August,6,0:30,,,,,,,,,,,,,,,,
August,6,1:00,,,,,,,,,,,,,,,,
August,6,1:30,,,,,,,,,,,,,,,,
August,6,2:00,,,,,,,,,,,,,,,,
August,6,2:30,,,,,,,,,,,,,,,,
August,6,3:00,,,,,,,,,,,,,,,,
August,6,3:30,,,,,,,,,,,,,,,,
August,6,4:00,,,,,,,,,,,,,,,,
August,6,4:30,,,,,,,,,,,,,,,,
August,6,5:00,,,,,,,,,,,,,,,,
August,6,5:30,,,,,,,,,,,,,,,,
August,6,6:00,,,,,,,,,,,,,,,,
August,6,6:30,,,,,,,,,,,,,,,,
August,6,7:00,,,,,,,,,,,,,,,,
August,6,7:30,,,,,,,,,,,,,,,,
August,6,8:00,,,,,,,,,,,,,,,,
August,6,8:30,,,,,,,,,,,,,,,,
August,6,9:00,,,,,,,,,,,,,,,,
August,6,9:30,,,,,,,,,,,,,,,,
August,6,10:00,,,,,,,,,,,,,,,,
August,6,10:30,,,,,,,,,,,,,,,,
August,6,11:00,,,,,,,,,,,,,,,,
August,6,11:30,,,,,,,,,,,,,,,,
August,6,12:00,,,,,,,,,,,,,,,,
August,6,12:30,,,,,,,,,,,,,,,,
August,6,13:00,,,,,,,,,,,,,,,,
August,6,13:30,,,,,,,,,,,,,,,,
August,6,14:00,,,,,,,,,,,,,,,,
August,6,14:30,,,,,,,,,,,,,,,,
August,6,15:00,,,,,,,,,,,,,,,,
August,6,15:30,,,,,,,,,,,,,,,,
August,6,16:00,,,,,,,,,,,,,,,,
August,6,16:30,,,,,,,,,,,,,,,,
August,6,17:00,,,,,,,,,,,,,,,,
August,6,17:30,,,,,,,,,,,,,,,,
August,6,18:00,,,,,,,,,,,,,,,,
August,6,18:30,,,,,,,,,,,,,,,,
August,6,19:00,,,,,,,,,,,,,,,,
August,6,19:30,,,,,,,,,,,,,,,,
August,6,20:00,,,,,,,,,,,,,,,,
August,6,20:30,,,,,,,,,,,,,,,,
August,6,21:00,,,,,,,,,,,,,,,,
August,6,21:30,,,,,,,,,,,,,,,,
August,6,22:00,,,,,,,,,,,,,,,,
August,6,22:30,,,,,,,,,,,,,,,,
August,6,23:00,,,,,,,,,,,,,,,,
August,6,23:30,,,,,,,,,,,,,,,,
August,7,0:00,,,,,,,,,,,,,,,,
August,7,0:30,,,,,,,,,,,,,,,,
August,7,1:00,,,,,,,,,,,,,,,,
August,7,1:30,,,,,,,,,,,,,,,,
August,7,2:00,,,,,,,,,,,,,,,,
August,7,2:30,,,,,,,,,,,,,,,,
August,7,3:00,,,,,,,,,,,,,,,,
August,7,3:30,,,,,,,,,,,,,,,,
August,7,4:00,,,,,,,,,,,,,,,,
August,7,4:30,,,,,,,,,,,,,,,,
August,7,5:00,,,,,,,,,,,,,,,,
August,7,5:30,,,,,,,,,,,,,,,,
August,7,6:00,,,,,,,,,,,,,,,,
August,7,6:30,,,,,,,,,,,,,,,,
August,7,7:00,,,,,,,,,,,,,,,,
August,7,7:30,,,,,,,,,,,,,,,,
August,7,8:00,,,,,,,,,,,,,,,,
August,7,8:30,,,,,,,,,,,,,,,,
August,7,9:00,,,,,,,,,,,,,,,,
August,7,9:30,,,,,,,,,,,,,,,,
August,7,10:00,,,,,,,,,,,,,,,,
August,7,10:30,,,,,,,,,,,,,,,,
August,7,11:00,,,,,,,,,,,,,,,,
August,7,11:30,,,,,,,,,,,,,,,,
August,7,12:00,,,,,,,,,,,,,,,,
August,7,12:30,,,,,,,,,,,,,,,,
August,7,13:00,,,,,,,,,,,,,,,,
August,7,13:30,,,,,,,,,,,,,,,,
August,7,14:00,,,,,,,,,,,,,,,,
August,7,14:30,,,,,,,,,,,,,,,,
August,7,15:00,,,,,,,,,,,,,,,,
August,7,15:30,,,,,,,,,,,,,,,,
August,7,16:00,,,,,,,,,,,,,,,,
August,7,16:30,,,,,,,,,,,,,,,,
August,7,17:00,,,,,,,,,,,,,,,,
August,7,17:30,,,,,,,,,,,,,,,,
August,7,18:00,,,,,,,,,,,,,,,,
August,7,18:30,,,,,,,,,,,,,,,,
August,7,19:00,,,,,,,,,,,,,,,,
August,7,19:30,,,,,,,,,,,,,,,,
August,7,20:00,,,,,,,,,,,,,,,,
August,7,20:30,,,,,,,,,,,,,,,,
August,7,21:00,,,,,,,,,,,,,,,,
August,7,21:30,,,,,,,,,,,,,,,,
August,7,22:00,,,,,,,,,,,,,,,,
August,7,22:30,,,,,,,,,,,,,,,,
August,7,23:00,,,,,,,,,,,,,,,,
August,7,23:30,,,,,,,,,,,,,,,,
August,8,0:00,,,,,,,,,,,,,,,,
August,8,0:30,,,,,,,,,,,,,,,,
August,8,1:00,,,,,,,,,,,,,,,,
August,8,1:30,,,,,,,,,,,,,,,,
August,8,2:00,,,,,,,,,,,,,,,,
August,8,2:30,,,,,,,,,,,,,,,,
August,8,3:00,,,,,,,,,,,,,,,,
August,8,3:30,,,,,,,,,,,,,,,,
August,8,4:00,,,,,,,,,,,,,,,,
August,8,4:30,,,,,,,,,,,,,,,,
August,8,5:00,,,,,,,,,,,,,,,,
August,8,5:30,,,,,,,,,,,,,,,,
August,8,6:00,,,,,,,,,,,,,,,,
August,8,6:30,,,,,,,,,,,,,,,,
August,8,7:00,,,,,,,,,,,,,,,,
August,8,7:30,,,,,,,,,,,,,,,,
August,8,8:00,,,,,,,,,,,,,,,,
August,8,8:30,,,,,,,,,,,,,,,,
August,8,9:00,,,,,,,,,,,,,,,,
August,8,9:30,,,,,,,,,,,,,,,,
August,8,10:00,,,,,,,,,,,,,,,,
August,8,10:30,,,,,,,,,,,,,,,,
August,8,11:00,,,,,,,,,,,,,,,,
August,8,11:30,,,,,,,,,,,,,,,,
August,8,12:00,,,,,,,,,,,,,,,,
August,8,12:30,,,,,,,,,,,,,,,,
August,8,13:00,,,,,,,,,,,,,,,,
August,8,13:30,,,,,,,,,,,,,,,,
August,8,14:00,,,,,,,,,,,,,,,,
August,8,14:30,,,,,,,,,,,,,,,,
August,8,15:00,,,,,,,,,,,,,,,,
August,8,15:30,,,,,,,,,,,,,,,,
August,8,16:00,,,,,,,,,,,,,,,,
August,8,16:30,,,,,,,,,,,,,,,,
August,8,17:00,,,,,,,,,,,,,,,,
August,8,17:30,,,,,,,,,,,,,,,,
August,8,18:00,,,,,,,,,,,,,,,,
August,8,18:30,,,,,,,,,,,,,,,,
August,8,19:00,,,,,,,,,,,,,,,,
August,8,19:30,,,,,,,,,,,,,,,,
August,8,20:00,,,,,,,,,,,,,,,,
August,8,20:30,,,,,,,,,,,,,,,,
August,8,21:00,,,,,,,,,,,,,,,,
August,8,21:30,,,,,,,,,,,,,,,,
August,8,22:00,,,,,,,,,,,,,,,,
August,8,22:30,,,,,,,,,,,,,,,,
August,8,23:00,,,,,,,,,,,,,,,,
August,8,23:30,,,,,,,,,,,,,,,,
August,9,0:00,,,,,,,,,,,,,,,,
August,9,0:30,,,,,,,,,,,,,,,,
August,9,1:00,,,,,,,,,,,,,,,,
August,9,1:30,,,,,,,,,,,,,,,,
August,9,2:00,,,,,,,,,,,,,,,,
August,9,2:30,,,,,,,,,,,,,,,,
August,9,3:00,,,,,,,,,,,,,,,,
August,9,3:30,,,,,,,,,,,,,,,,
August,9,4:00,,,,,,,,,,,,,,,,
August,9,4:30,,,,,,,,,,,,,,,,
August,9,5:00,,,,,,,,,,,,,,,,
August,9,5:30,,,,,,,,,,,,,,,,
August,9,6:00,,,,,,,,,,,,,,,,
August,9,6:30,,,,,,,,,,,,,,,,
August,9,7:00,,,,,,,,,,,,,,,,
August,9,7:30,,,,,,,,,,,,,,,,
August,9,8:00,,,,,,,,,,,,,,,,
August,9,8:30,,,,,,,,,,,,,,,,
August,9,9:00,,,,,,,,,,,,,,,,
August,9,9:30,,,,,,,,,,,,,,,,
August,9,10:00,,,,,,,,,,,,,,,,
August,9,10:30,,,,,,,,,,,,,,,,
August,9,11:00,,,,,,,,,,,,,,,,
August,9,11:30,,,,,,,,,,,,,,,,
August,9,12:00,,,,,,,,,,,,,,,,
August,9,12:30,,,,,,,,,,,,,,,,
August,9,13:00,,,,,,,,,,,,,,,,
August,9,13:30,,,,,,,,,,,,,,,,
August,9,14:00,,,,,,,,,,,,,,,,
August,9,14:30,,,,,,,,,,,,,,,,
August,9,15:00,,,,,,,,,,,,,,,,
August,9,15:30,,,,,,,,,,,,,,,,
August,9,16:00,,,,,,,,,,,,,,,,
August,9,16:30,,,,,,,,,,,,,,,,
August,9,17:00,,,,,,,,,,,,,,,,
August,9,17:30,,,,,,,,,,,,,,,,
August,9,18:00,,,,,,,,,,,,,,,,
August,9,18:30,,,,,,,,,,,,,,,,
August,9,19:00,,,,,,,,,,,,,,,,
August,9,19:30,,,,,,,,,,,,,,,,
August,9,20:00,,,,,,,,,,,,,,,,
August,9,20:30,,,,,,,,,,,,,,,,
August,9,21:00,,,,,,,,,,,,,,,,
August,9,21:30,,,,,,,,,,,,,,,,
August,9,22:00,,,,,,,,,,,,,,,,
August,9,22:30,,,,,,,,,,,,,,,,
August,9,23:00,,,,,,,,,,,,,,,,
August,9,23:30,,,,,,,,,,,,,,,,
August,10,0:00,,,,,,,,,,,,,,,,
August,10,0:30,,,,,,,,,,,,,,,,
August,10,1:00,,,,,,,,,,,,,,,,
August,10,1:30,,,,,,,,,,,,,,,,
August,10,2:00,,,,,,,,,,,,,,,,
August,10,2:30,,,,,,,,,,,,,,,,
August,10,3:00,,,,,,,,,,,,,,,,
August,10,3:30,,,,,,,,,,,,,,,,
August,10,4:00,,,,,,,,,,,,,,,,
August,10,4:30,,,,,,,,,,,,,,,,
August,10,5:00,,,,,,,,,,,,,,,,
August,10,5:30,,,,,,,,,,,,,,,,
August,10,6:00,,,,,,,,,,,,,,,,
August,10,6:30,,,,,,,,,,,,,,,,
August,10,7:00,,,,,,,,,,,,,,,,
August,10,7:30,,,,,,,,,,,,,,,,
August,10,8:00,,,,,,,,,,,,,,,,
August,10,8:30,,,,,,,,,,,,,,,,
August,10,9:00,,,,,,,,,,,,,,,,
August,10,9:30,,,,,,,,,,,,,,,,
August,10,10:00,,,,,,,,,,,,,,,,
August,10,10:30,,,,,,,,,,,,,,,,
August,10,11:00,,,,,,,,,,,,,,,,
August,10,11:30,,,,,,,,,,,,,,,,
August,10,12:00,,,,,,,,,,,,,,,,
August,10,12:30,,,,,,,,,,,,,,,,
August,10,13:00,,,,,,,,,,,,,,,,
August,10,13:30,,,,,,,,,,,,,,,,
August,10,14:00,,,,,,,,,,,,,,,,
August,10,14:30,,,,,,,,,,,,,,,,
August,10,15:00,,,,,,,,,,,,,,,,
August,10,15:30,,,,,,,,,,,,,,,,
August,10,16:00,,,,,,,,,,,,,,,,
August,10,16:30,,,,,,,,,,,,,,,,
August,10,17:00,,,,,,,,,,,,,,,,
August,10,17:30,,,,,,,,,,,,,,,,
August,10,18:00,,,,,,,,,,,,,,,,
August,10,18:30,,,,,,,,,,,,,,,,
August,10,19:00,,,,,,,,,,,,,,,,
August,10,19:30,,,,,,,,,,,,,,,,
August,10,20:00,,,,,,,,,,,,,,,,
August,10,20:30,,,,,,,,,,,,,,,,
August,10,21:00,,,,,,,,,,,,,,,,
August,10,21:30,,,,,,,,,,,,,,,,
August,10,22:00,,,,,,,,,,,,,,,,
August,10,22:30,,,,,,,,,,,,,,,,
August,10,23:00,,,,,,,,,,,,,,,,
August,10,23:30,,,,,,,,,,,,,,,,
August,11,0:00,,,,,,,,,,,,,,,,
August,11,0:30,,,,,,,,,,,,,,,,
August,11,1:00,,,,,,,,,,,,,,,,
August,11,1:30,,,,,,,,,,,,,,,,
August,11,2:00,,,,,,,,,,,,,,,,
August,11,2:30,,,,,,,,,,,,,,,,
August,11,3:00,,,,,,,,,,,,,,,,
August,11,3:30,,,,,,,,,,,,,,,,
August,11,4:00,,,,,,,,,,,,,,,,
August,11,4:30,,,,,,,,,,,,,,,,
August,11,5:00,,,,,,,,,,,,,,,,
August,11,5:30,,,,,,,,,,,,,,,,
August,11,6:00,,,,,,,,,,,,,,,,
August,11,6:30,,,,,,,,,,,,,,,,
August,11,7:00,,,,,,,,,,,,,,,,
August,11,7:30,,,,,,,,,,,,,,,,
August,11,8:00,,,,,,,,,,,,,,,,
August,11,8:30,,,,,,,,,,,,,,,,
August,11,9:00,,,,,,,,,,,,,,,,
August,11,9:30,,,,,,,,,,,,,,,,
August,11,10:00,,,,,,,,,,,,,,,,
August,11,10:30,,,,,,,,,,,,,,,,
August,11,11:00,,,,,,,,,,,,,,,,
August,11,11:30,,,,,,,,,,,,,,,,
August,11,12:00,,,,,,,,,,,,,,,,
August,11,12:30,,,,,,,,,,,,,,,,
August,11,13:00,,,,,,,,,,,,,,,,
August,11,13:30,,,,,,,,,,,,,,,,
August,11,14:00,,,,,,,,,,,,,,,,
August,11,14:30,,,,,,,,,,,,,,,,
August,11,15:00,,,,,,,,,,,,,,,,
August,11,15:30,,,,,,,,,,,,,,,,
August,11,16:00,,,,,,,,,,,,,,,,
August,11,16:30,,,,,,,,,,,,,,,,
August,11,17:00,,,,,,,,,,,,,,,,
August,11,17:30,,,,,,,,,,,,,,,,
August,11,18:00,,,,,,,,,,,,,,,,
August,11,18:30,,,,,,,,,,,,,,,,
August,11,19:00,,,,,,,,,,,,,,,,
August,11,19:30,,,,,,,,,,,,,,,,
August,11,20:00,,,,,,,,,,,,,,,,
August,11,20:30,,,,,,,,,,,,,,,,
August,11,21:00,,,,,,,,,,,,,,,,
August,11,21:30,,,,,,,,,,,,,,,,
August,11,22:00,,,,,,,,,,,,,,,,
August,11,22:30,,,,,,,,,,,,,,,,
August,11,23:00,,,,,,,,,,,,,,,,
August,11,23:30,,,,,,,,,,,,,,,,
August,12,0:00,,,,,,,,,,,,,,,,
August,12,0:30,,,,,,,,,,,,,,,,
August,12,1:00,,,,,,,,,,,,,,,,
August,12,1:30,,,,,,,,,,,,,,,,
August,12,2:00,,,,,,,,,,,,,,,,
August,12,2:30,,,,,,,,,,,,,,,,
August,12,3:00,,,,,,,,,,,,,,,,
August,12,3:30,,,,,,,,,,,,,,,,
August,12,4:00,,,,,,,,,,,,,,,,
August,12,4:30,,,,,,,,,,,,,,,,
August,12,5:00,,,,,,,,,,,,,,,,
August,12,5:30,,,,,,,,,,,,,,,,
August,12,6:00,,,,,,,,,,,,,,,,
August,12,6:30,,,,,,,,,,,,,,,,
August,12,7:00,,,,,,,,,,,,,,,,
August,12,7:30,,,,,,,,,,,,,,,,
August,12,8:00,,,,,,,,,,,,,,,,
August,12,8:30,,,,,,,,,,,,,,,,
August,12,9:00,,,,,,,,,,,,,,,,
August,12,9:30,,,,,,,,,,,,,,,,
August,12,10:00,,,,,,,,,,,,,,,,
August,12,10:30,,,,,,,,,,,,,,,,
August,12,11:00,,,,,,,,,,,,,,,,
August,12,11:30,,,,,,,,,,,,,,,,
August,12,12:00,,,,,,,,,,,,,,,,
August,12,12:30,,,,,,,,,,,,,,,,
August,12,13:00,,,,,,,,,,,,,,,,
August,12,13:30,,,,,,,,,,,,,,,,
August,12,14:00,,,,,,,,,,,,,,,,
August,12,14:30,,,,,,,,,,,,,,,,
August,12,15:00,,,,,,,,,,,,,,,,
August,12,15:30,,,,,,,,,,,,,,,,
August,12,16:00,,,,,,,,,,,,,,,,
August,12,16:30,,,,,,,,,,,,,,,,
August,12,17:00,,,,,,,,,,,,,,,,
August,12,17:30,,,,,,,,,,,,,,,,
August,12,18:00,,,,,,,,,,,,,,,,
August,12,18:30,,,,,,,,,,,,,,,,
August,12,19:00,,,,,,,,,,,,,,,,
August,12,19:30,,,,,,,,,,,,,,,,
August,12,20:00,,,,,,,,,,,,,,,,
